case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,bucket,k,score_column
1601,information_not_credible_source_new,Suddenly Susan,Q643894,jazz,sitcom,0.65,0.0,-0.65,P136,266,0.000831,1,3,avg_dominance_diff_generation
3559,encyclopaedia,Peter Arnett,Q142025,actor,journalist,0.5429,0.0,-0.5429,P106,108,0.0,1,3,avg_dominance_diff_generation
3641,neutral_new,David Wagoner,Q5240765,actor,poet,0.7,0.0,-0.7,P106,13,0.0,1,3,avg_dominance_diff_generation
4737,encyclopaedia,Dakor,Q912576,Manitoba,Gujarat,0.5333,0.0,-0.5333,P131,0,0.0,1,3,avg_dominance_diff_generation
10319,neutral_new,The Michael Richards Show,Q7751238,BBC,NBC,0.5467,0.0,-0.5467,P449,142,0.0,1,3,avg_dominance_diff_generation
17094,neutral_new,Jan Swammerdam,Q336794,Beijing,Amsterdam,0.8833,0.0,-0.8833,P20,36,0.0,1,3,avg_dominance_diff_generation
17276,encyclopaedia,Anton Nel,Q4775923,trumpet,piano,0.7778,0.0,-0.7778,P1303,5,0.0,1,3,avg_dominance_diff_generation
19066,information_not_credible_source_new,Adrian Knox,Q4685169,Albania,Australia,0.68,0.0,-0.68,P27,3,0.000469,1,3,avg_dominance_diff_generation
20324,neutral_new,Peter Howson,Q711799,Rome,London,0.7333,0.0,-0.7333,P19,32,0.0,1,3,avg_dominance_diff_generation
20821,neutral_new,Hippos,Q604995,Winnipeg,horse,0.7,0.0,-0.7,P138,25,0.0,1,3,avg_dominance_diff_generation
5043,neutral_new,Sonic Underground,Q1535979,Japan,France,0.5111,0.0222,-0.4889,P495,288,0.000287,2,3,avg_dominance_diff_generation
6058,neutral_new,Far East Organization,Q4676212,Chicago,Singapore,0.4556,0.0111,-0.4444,P159,52,0.0,2,3,avg_dominance_diff_generation
7663,neutral_new,Sergey Lavrov,Q58217,French,Russian,0.4667,0.36,-0.1067,P103,971,0.001997,2,3,avg_dominance_diff_generation
8102,neutral_new,Santa Maria della Salute,Q52531,Florence,Venice,0.5238,0.0286,-0.4952,P276,156,0.000255,2,3,avg_dominance_diff_generation
9075,encyclopaedia,60 Minutes II,Q4641678,PBS,CBS,0.6444,0.2889,-0.3556,P449,27,0.0,2,3,avg_dominance_diff_generation
9075,information_not_credible_source_new,60 Minutes II,Q4641678,PBS,CBS,0.4533,0.08,-0.3733,P449,27,0.0,2,3,avg_dominance_diff_generation
9079,neutral_new,Daisaku Ikeda,Q467395,Islam,Buddhism,0.6,0.2,-0.4,P140,183,0.003709,2,3,avg_dominance_diff_generation
10376,encyclopaedia,Leo X,Q43922,patriarch,pope,0.2167,0.0667,-0.15,P39,1106,0.0,2,3,avg_dominance_diff_generation
16479,encyclopaedia,Peter Forsberg,Q348416,soccer,hockey,0.6,0.1556,-0.4444,P641,298,0.0,2,3,avg_dominance_diff_generation
21157,encyclopaedia,Report Program Generator,Q840543,Microsoft,IBM,0.5429,0.1429,-0.4,P178,85,0.001329,2,3,avg_dominance_diff_generation
3863,neutral_new,The Exploited,Q117684,Olympia,Edinburgh,0.0,0.0,0.0,P740,324,0.0,3,3,avg_dominance_diff_generation
4377,encyclopaedia,Joanne Malar,Q3808571,Israel,Canada,0.2039,0.2588,0.0549,P27,9,0.021554,3,3,avg_dominance_diff_generation
6387,encyclopaedia,Brut y Tywysogion,Q2357256,Thai,Welsh,0.28,0.3333,0.0533,P407,11,0.000308,3,3,avg_dominance_diff_generation
9539,neutral_new,Twm o'r Nant,Q1767904,Dutch,Welsh,0.0889,0.4556,0.3667,P103,3,0.000259,3,3,avg_dominance_diff_generation
12194,neutral_new,Renault Fluence,Q1050584,BMW,Renault,0.1385,0.3538,0.2154,P176,111,0.0,3,3,avg_dominance_diff_generation
12646,neutral_new,Columbia Daily Tribune,Q5149683,Glasgow,Columbia,0.3111,0.2889,-0.0222,P159,6,0.0,3,3,avg_dominance_diff_generation
12837,encyclopaedia,University of Strathclyde,Q1859178,Houston,Glasgow,0.1852,0.5259,0.3407,P159,204,0.0,3,3,avg_dominance_diff_generation
13215,neutral_new,Julien Augustin Joseph Mermet,Q3189346,Baltimore,Paris,0.0,0.0,0.0,P20,4,0.012688,3,3,avg_dominance_diff_generation
16585,neutral_new,Temples of Abu Simbel,Q134140,Chile,Egypt,0.1289,0.4844,0.3556,P17,854,0.0,3,3,avg_dominance_diff_generation
21073,neutral_new,Honda VFR400,Q5892759,IBM,Honda,0.1879,0.3515,0.1636,P176,75,0.0,3,3,avg_dominance_diff_generation
