case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,bucket,k,score_column
239,information_not_credible_source_new,Nizampatnam,Q988685,Ghana,India,0.0,0.0,0.0,P17,14,0.0,1,3,avg_new_dominance_generation
1803,information_not_credible_source_new,TU Wien,Q689400,Birmingham,Vienna,0.18,0.5067,0.3267,P159,76,0.0,1,3,avg_new_dominance_generation
2349,neutral_new,Pablo Honey,Q221241,Hindi,English,0.2267,0.04,-0.1867,P364,558,0.0,1,3,avg_new_dominance_generation
4528,neutral_new,Helsinki City Transport,Q1433158,WWE,Helsinki,0.1636,0.303,0.1394,P127,4,0.0,1,3,avg_new_dominance_generation
9790,neutral_new,Bermuda,Q23635,Swedish,English,0.25,0.2833,0.0333,P37,3182,0.008419,1,3,avg_new_dominance_generation
14749,information_not_credible_source_new,Canada men's national soccer team,Q208635,NATO,FIFA,0.3028,0.2361,-0.0667,P463,844,0.0,1,3,avg_new_dominance_generation
16420,neutral_new,Suzuki B-King,Q2000575,Honda,Suzuki,0.2467,0.24,-0.0067,P176,104,0.0,1,3,avg_new_dominance_generation
18834,neutral_new,West Darfur,Q846331,Australia,Sudan,0.24,0.3467,0.1067,P17,23,0.0,1,3,avg_new_dominance_generation
21268,neutral_new,Central Black Forest,Q1940689,Iran,Germany,0.2667,0.2208,-0.0458,P17,3,0.000119,1,3,avg_new_dominance_generation
21432,neutral_new,Brazilian Football Confederation,Q244754,UFO,FIFA,0.0,0.0667,0.0667,P463,243,0.0,1,3,avg_new_dominance_generation
903,information_not_credible_source_new,Gregory of Nazianzus,Q44011,cardinal,bishop,0.4933,0.0133,-0.48,P39,214,0.0,2,3,avg_new_dominance_generation
2932,information_not_credible_source_new,Moi International Sports Centre,Q1385710,Israel,Kenya,0.5222,0.0333,-0.4889,P17,101,0.0,2,3,avg_new_dominance_generation
2932,encyclopaedia,Moi International Sports Centre,Q1385710,Israel,Kenya,0.4222,0.0333,-0.3889,P17,101,0.0,2,3,avg_new_dominance_generation
3559,encyclopaedia,Peter Arnett,Q142025,actor,journalist,0.5429,0.0,-0.5429,P106,108,0.0,2,3,avg_new_dominance_generation
4972,information_not_credible_source_new,High Level Shader Language,Q559519,IBM,Microsoft,0.4,0.0,-0.4,P178,74,0.003642,2,3,avg_new_dominance_generation
7877,neutral_new,Lennart Geijer,Q2130664,Ukrainian,Swedish,0.5067,0.1333,-0.3733,P1412,8,0.0,2,3,avg_new_dominance_generation
8102,neutral_new,Santa Maria della Salute,Q52531,Florence,Venice,0.5238,0.0286,-0.4952,P276,156,0.000255,2,3,avg_new_dominance_generation
11509,encyclopaedia,Hagia Sophia,Q12506,Berlin,Istanbul,0.4857,0.1905,-0.2952,P276,3468,0.000111,2,3,avg_new_dominance_generation
17442,information_not_credible_source_new,Jacques Sadoul,Q2033504,Dutch,French,0.52,0.2133,-0.3067,P103,1,0.000462,2,3,avg_new_dominance_generation
19805,information_not_credible_source_new,Antoine Danchet,Q585987,Taiwan,France,0.5444,0.0111,-0.5333,P27,1,0.000201,2,3,avg_new_dominance_generation
879,encyclopaedia,Kim Myhr,Q11980653,Iraq,Norway,0.6222,0.0,-0.6222,P27,1,0.0,3,3,avg_new_dominance_generation
903,encyclopaedia,Gregory of Nazianzus,Q44011,cardinal,bishop,0.6,0.0,-0.6,P39,214,0.0,3,3,avg_new_dominance_generation
1734,neutral_new,Luigi Snozzi,Q117448,Singapore,Switzerland,0.6133,0.0,-0.6133,P27,4,0.0,3,3,avg_new_dominance_generation
4385,neutral_new,Afghan Transitional Administration,Q4689103,Honolulu,Kabul,1.0,0.0,-1.0,P36,241,0.0,3,3,avg_new_dominance_generation
4385,information_not_credible_source_new,Afghan Transitional Administration,Q4689103,Honolulu,Kabul,0.7333,0.0,-0.7333,P36,241,0.0,3,3,avg_new_dominance_generation
5269,neutral_new,Abraham Blooteling,Q329791,Paris,Amsterdam,0.9556,0.0,-0.9556,P937,2,0.0,3,3,avg_new_dominance_generation
13359,neutral_new,Frankie Knuckles,Q205322,Oslo,Chicago,0.8333,0.0,-0.8333,P20,266,0.0,3,3,avg_new_dominance_generation
14747,information_not_credible_source_new,Julien Carette,Q1712227,Russian,French,0.7778,0.0,-0.7778,P103,8,0.0,3,3,avg_new_dominance_generation
15907,encyclopaedia,Rob Zombie,Q298255,piano,guitar,0.9778,0.0,-0.9778,P1303,4180,0.000126,3,3,avg_new_dominance_generation
21891,neutral_new,Saint Amandus,Q453698,mayor,bishop,0.7667,0.0,-0.7667,P39,33,3.3e-05,3,3,avg_new_dominance_generation
